1,18
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
3,19
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,15
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
1,2
0,0
6,9
5,11
1,10
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
2,9
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,8
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,4
2,8
0,0
0,0
0,0
1,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,4
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,5
0,0
0,0
1,15
0,0
0,0
0,0
2,12
4,12
0,0
1,4
1,8
0,0
0,0
1,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,1
0,0
4,0
0,0
0,0
0,0
0,0
1,8
8,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,10
0,0
0,0
3,11
1,17
0,0
0,0
0,0
3,12
0,0
1,0
0,0
0,0
0,0
2,15
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,18
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,5
3,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,16
0,0
1,6
0,0
1,4
1,13
0,0
3,4
0,0
3,0
0,0
0,0
4,14
0,0
1,6
0,0
1,4
0,0
0,0
0,0
0,0
0,0
1,4
0,0
0,0
4,14
0,0
0,0
0,0
1,6
0,0
0,0
0,0
1,5
1,9
1,4
3,5
3,1
0,0
0,0
0,0
4,7
0,0
2,3
0,0
0,0
0,0
0,0
0,0
3,12
0,0
1,7
0,0
0,0
1,13
1,7
0,0
0,0
0,0
0,0
0,0
6,0
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,9
0,0
0,0
0,0
0,0
1,4
0,0
0,0
0,0
1,11
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,3
9,15
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,12
0,0
1,3
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,15
0,0
0,0
0,0
0,0
0,0
5,11
0,0
0,0
0,0
0,0
0,0
1,6
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,6
0,0
1,5
0,0
0,0
0,0
0,0
1,2
2,0
1,2
0,0
0,0
0,6
0,0
0,0
0,0
0,0
4,8
0,0
0,0
0,0
3,15
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,6
1,13
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,17
0,0
13,1
0,0
0,0
0,0
0,0
2,17
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,18
1,0
0,0
0,0
0,0
0,0
0,0
8,5
0,0
0,0
0,0
0,0
0,0
1,15
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
1,8
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,12
1,15
1,10
0,0
0,0
0,0
0,0
1,0
0,0
0,0
8,11
0,0
0,0
0,0
0,0
1,0
0,0
0,0
3,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
2,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,14
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
1,5
0,0
1,4
0,0
0,0
10,7
0,0
0,0
0,0
2,4
1,5
0,0
0,0
0,0
0,0
0,0
3,1
0,0
0,0
0,5
0,0
0,0
0,0
0,0
1,3
0,0
1,2
0,0
0,0
0,0
3,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,7
1,15
0,0
0,0
0,0
0,0
2,18
1,11
1,4
0,0
0,0
4,8
0,0
0,0
0,0
0,0
0,0
1,9
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
7,19
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,17
3,7
0,0
1,13
2,18
0,0
0,0
0,0
0,0
1,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,3
0,0
0,0
1,3
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,19
0,0
0,0
1,11
1,19
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,2
0,0
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,4
2,3
0,0
0,0
0,0
1,15
0,0
0,0
0,0
0,0
0,0
0,0
1,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
