1,18
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
3,1
3,11
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,17
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
1,2
0,0
6,8
5,6
1,10
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
2,19
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,8
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,4
2,4
0,0
0,0
0,0
1,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,13
0,0
0,0
1,15
0,0
0,0
0,0
2,12
4,10
0,0
1,8
1,8
0,0
0,0
1,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,1
0,0
4,0
0,0
0,0
0,0
0,0
1,8
8,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,9
0,0
0,0
3,11
1,17
0,0
0,0
0,0
3,2
0,0
1,0
0,0
0,0
0,0
2,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,18
1,11
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,5
3,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,16
0,0
1,6
0,0
1,4
1,13
0,0
3,4
0,0
3,16
0,0
0,0
4,9
0,0
1,10
0,0
1,4
0,0
0,0
0,0
0,0
0,0
1,4
0,0
0,0
4,5
0,0
0,0
0,0
1,6
0,0
0,0
0,0
1,5
1,9
1,4
3,18
3,0
0,0
0,0
0,0
4,7
0,0
2,3
0,0
0,0
0,0
0,0
0,0
3,8
0,0
1,7
0,0
0,0
1,13
1,7
0,0
0,0
0,0
0,0
0,0
6,19
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,15
0,0
0,0
0,0
0,0
1,4
0,0
0,0
0,0
1,11
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
9,6
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,12
0,0
1,3
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,15
0,0
0,0
0,0
0,0
0,0
5,4
0,0
0,0
0,8
0,0
0,0
1,9
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,6
0,0
1,5
0,0
0,0
0,0
0,0
1,2
2,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,8
0,0
0,0
0,0
3,15
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,6
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,12
0,0
13,12
0,0
0,0
0,0
0,0
2,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
8,0
0,0
0,0
0,0
0,0
0,0
1,15
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
2,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
1,7
0,0
0,0
0,0
0,0
0,0
1,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,12
1,15
1,10
0,0
0,0
0,0
0,0
1,0
0,0
0,0
8,16
0,0
0,0
0,0
0,0
1,0
0,0
0,0
3,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
2,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,4
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
1,2
0,0
1,5
0,0
0,0
10,3
0,0
0,0
0,0
2,4
1,5
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,4
0,0
0,0
0,0
0,0
1,3
0,0
1,1
0,0
0,0
0,0
3,19
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,7
1,15
0,0
0,0
0,0
0,0
2,18
1,11
1,4
0,0
0,0
4,8
0,0
0,0
0,0
0,0
0,0
1,9
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
7,17
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,17
3,8
0,0
1,13
2,14
0,0
0,0
0,0
0,0
1,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,3
0,0
0,0
1,3
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,19
0,0
0,0
1,9
1,19
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,2
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,4
2,0
0,0
0,0
0,0
1,15
0,0
0,0
0,0
0,0
0,0
0,0
1,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
